Process number,finish time, turnaround time,normalized turnaround time
Process 0,16,15,1.50
Process 1,7,2,0.67
Process 2,10,3,1.00
Process 3,278,270,14.21
Process 4,44,34,3.40
Process 5,24,12,1.50
Process 6,132,113,8.07
Process 7,207,187,11.00
Process 8,93,73,6.08
Process 9,27,2,0.67
Process 10,67,37,3.70
Process 11,146,116,8.29
Process 12,33,1,0.50
Process 13,317,285,14.25
Process 14,38,4,0.80
Process 15,259,221,12.28
Process 16,297,258,13.58
Process 17,49,5,1.00
Process 18,190,146,9.12
Process 19,81,30,2.73
Process 20,160,109,7.79
Process 21,59,7,1.00
Process 22,118,64,5.33
Process 23,56,0,0.00
Process 24,224,166,9.76
Process 25,174,109,7.79
Process 26,70,5,1.67
Process 27,106,17,1.55
Process 28,241,150,8.82
Process 29,95,1,0.50

Average Latency:, 70.83

Average Turnaround:, 81.40

Average Normalized Turnaround:, 5.28